;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
safiroanejo;valvesoftware;;;;;;;;;;;;;Mentions;26/05/2022 10:45;"RT @Ghadiw_safetf2: @DOTA2 @valvesoftware #SafeTF2 
update tf2 plz !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!…";;;safetf2;26/05/2022 10:45;https://twitter.com/#!/safiroanejo/status/1529775673975488513;;;1529775673975488513;
paquito_182;paquito_182;;;;;;;;;;;;;Tweet;26/05/2022 10:47;#SafeTF2 el mejor juego de Steam no puede morir;;;safetf2;26/05/2022 10:47;https://twitter.com/#!/paquito_182/status/1529776309383090176;;;1529776309383090176;
rrijnwoude;rrijnwoude;;;;;;;;;;;;;Tweet;26/05/2022 10:48;#SafeTF2;;;safetf2;26/05/2022 10:48;https://twitter.com/#!/rrijnwoude/status/1529776404258226176;;;1529776404258226176;
creeperking2002;creeperking2002;;;;;;;;;;;;;Tweet;26/05/2022 10:49;#SafeTF2 still waiting for the Heavy update ):;;;safetf2;26/05/2022 10:49;https://twitter.com/#!/creeperking2002/status/1529776680994320384;;;1529776680994320384;
displume_;displume_;;;;;;;;;;;;;Tweet;26/05/2022 10:59;#SafeTF2 Heavy update;;;safetf2;26/05/2022 10:59;https://twitter.com/#!/displume_/status/1529779165280382977;;;1529779165280382977;
vectus7;redlix_tf;;;;;;;;;;;;;Mentions;26/05/2022 11:10;RT @redlix_tf: Let’s save this damned game #safetf2 https://t.co/bQWarP3np6;;;safetf2;26/05/2022 11:10;https://twitter.com/#!/vectus7/status/1529782096960561155;;;1529782096960561155;
vectus7;facikwacik;;;;;;;;;;;;;Mentions;26/05/2022 11:10;RT @FacikWacik: My favorite game is dying 😪😓 #safetf2 https://t.co/TILdXHeC6Q;;;safetf2;26/05/2022 11:10;https://twitter.com/#!/vectus7/status/1529782108020830209;;;1529782108020830209;
vectus7;coffegrand;;;;;;;;;;;;;Mentions;26/05/2022 11:10;RT @CoffeGrand: We have to save the legacy of this legend guys #SafeTF2 https://t.co/epwDctQta8;;;safetf2;26/05/2022 11:10;https://twitter.com/#!/vectus7/status/1529782127335723009;;;1529782127335723009;
vectus7;derdiedasjan136;;;;;;;;;;;;;Mentions;26/05/2022 11:11;RT @derdiedasjan136: Today is the Day Today we will safe Tf2 Valve cant Ignore us Forever So Help us to Safe tf2 #SafeTF2 #TF2 https://t.co…;;;safetf2 tf2;26/05/2022 11:11;https://twitter.com/#!/vectus7/status/1529782149880156161;;;1529782149880156161;
vectus7;dude_stay;;;;;;;;;;;;;Mentions;26/05/2022 11:11;RT @dude_stay: Plz help us save the this game from crazy bots and help join the tf2 community. #SafeTF2 https://t.co/YzjzgfiUe9;;;safetf2;26/05/2022 11:11;https://twitter.com/#!/vectus7/status/1529782183858159616;;;1529782183858159616;
